Study,Poids
coronavirus,0.0034402498966417047
diagnosis,0.005129133859386245
emerging,0.005629847441919708
human,0.005629847441919708
state,0.0062406644010273744
artlaboratory,0.006933848738939608
infections,0.006980592738526619
sarscov,0.008085394186160302
covid,0.008209134664465732
infection,0.013961185477053238
commercial,0.015820590756053608
testing,0.01810595111823924
disease,0.019245907068231365
acute,0.019245907068231365
rapid,0.019557303408166884
immunoassaysevaluation,0.023470927321226152
severe,0.023470927321226152
respiratory,0.023470927321226152
syndromerelated,0.023470927321226152
narrative,0.02594264534335831
